gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
Male,0,56,57.69,3312.23,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,71,107.59,7709.9,Two year,DSL,No,Mailed check,No
Male,1,6,110.53,918.18,Two year,DSL,Yes,Bank transfer,No
Male,0,55,69.3,3851.05,Two year,Fiber optic,No,Bank transfer,No
Male,1,66,53.02,3333.5,One year,DSL,No,Credit card,No
Female,0,15,30.68,139.25,Two year,Fiber optic,No,Credit card,No
Male,0,50,115.34,5697.24,Month-to-month,DSL,Yes,Electronic check,No
Male,1,71,26.02,1455.78,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,11,49.77,421.77,Month-to-month,DSL,Yes,Mailed check,No
Female,0,52,49.81,2531.59,One year,Fiber optic,No,Electronic check,No
Male,0,4,52.04,70.18,Month-to-month,DSL,No,Electronic check,Yes
Male,1,26,36.43,955.53,One year,DSL,No,Bank transfer,No
Male,1,11,98.32,1034.3,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,16,32.25,450.46,Month-to-month,No,No,Bank transfer,Yes
Female,0,5,83.49,-67.38,One year,DSL,No,Electronic check,Yes
Male,1,4,32.38,-129.42,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,56,27.05,1643.33,Month-to-month,DSL,No,Credit card,Yes
Female,0,27,110.94,3156.23,Month-to-month,DSL,No,Credit card,No
Female,1,68,39.01,2284.92,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,58,102.13,5760.6,One year,Fiber optic,Yes,Electronic check,No
Female,0,32,74.46,2597.11,Month-to-month,No,No,Electronic check,Yes
Male,0,61,27.79,1551.58,Month-to-month,No,No,Electronic check,Yes
Female,1,49,115.54,5639.16,Month-to-month,Fiber optic,Yes,Electronic check,No
Female,1,18,44.7,1092.96,One year,Fiber optic,Yes,Credit card,No
Female,1,68,105.96,7132.96,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,65,36.88,2296.26,One year,DSL,No,Credit card,No
Female,1,46,105.39,4816.53,One year,No,No,Electronic check,No
Female,1,38,21.32,1180.84,Month-to-month,Fiber optic,No,Credit card,No
Female,0,67,71.18,4858.3,Two year,Fiber optic,No,Mailed check,No
Female,1,32,96.94,3105.9,One year,DSL,No,Mailed check,No
Male,0,12,113.48,1256.89,Month-to-month,DSL,No,Credit card,No
Male,0,53,110.92,5986.52,Month-to-month,No,No,Mailed check,No
Female,0,6,101.96,743.7,Two year,DSL,Yes,Mailed check,No
Female,0,13,108.82,1200.02,One year,Fiber optic,No,Credit card,No
Female,0,18,39.92,855.89,Month-to-month,DSL,Yes,Electronic check,Yes
Male,0,53,48.42,2536.03,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,19,48.9,934.06,One year,DSL,No,Credit card,No
Male,0,28,57.71,1439.02,One year,Fiber optic,Yes,Bank transfer,No
Male,0,23,59.33,1284.59,One year,DSL,No,Bank transfer,No
Male,0,62,74.46,4410.49,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,56,35.99,1799.8,One year,Fiber optic,No,Bank transfer,No
Male,0,7,89.12,699.26,Month-to-month,DSL,No,Mailed check,No
Female,0,61,36.76,2171.34,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,28,51.03,1168.91,One year,DSL,No,Credit card,No
Female,1,16,70.33,1560.69,Two year,DSL,No,Electronic check,No
Female,0,65,99.64,6251.67,Month-to-month,Fiber optic,No,Credit card,No
Female,0,5,93.95,688.17,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,57,84.55,4524.06,One year,DSL,No,Electronic check,Yes
Female,1,68,35.58,2510.74,Month-to-month,DSL,Yes,Electronic check,No
Female,0,27,74.7,1966.79,One year,DSL,No,Mailed check,No
Male,1,61,28.74,1627.33,One year,Fiber optic,No,Credit card,No
Female,0,40,57.74,2348.95,Month-to-month,DSL,No,Bank transfer,Yes
Male,1,68,61.35,4184.25,Two year,No,No,Electronic check,No
Female,0,40,23.98,796.71,One year,No,No,Credit card,No
Male,1,48,47.4,2103.65,Two year,DSL,Yes,Bank transfer,No
Female,0,48,115.56,5232.1,One year,DSL,No,Electronic check,No
Female,0,70,115.36,8136.31,Two year,Fiber optic,No,Credit card,Yes
Male,0,2,55.23,-140.3,Month-to-month,DSL,No,Mailed check,Yes
Male,0,9,24.31,219.58,Month-to-month,DSL,Yes,Electronic check,No
Male,0,34,37.91,1407.44,Two year,DSL,No,Credit card,Yes
Male,1,1,59.22,100.83,Month-to-month,Fiber optic,No,Bank transfer,No
Male,1,23,114.78,2495.31,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,37,34.12,1444.2,One year,DSL,No,Mailed check,No
Male,0,21,96.35,1941.76,One year,DSL,Yes,Electronic check,No
Male,0,25,30.87,504.92,Month-to-month,No,No,Mailed check,No
Female,0,42,118.13,4904.71,Two year,Fiber optic,No,Credit card,No
Female,0,54,58.16,3258.0,One year,Fiber optic,Yes,Bank transfer,No
Male,0,38,97.52,3570.88,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,0,28,54.26,1694.92,One year,Fiber optic,No,Electronic check,No
Female,0,19,82.77,1418.56,Month-to-month,Fiber optic,No,Credit card,No
Female,0,40,39.2,1441.16,Month-to-month,DSL,No,Electronic check,Yes
Female,0,53,34.6,1624.58,Month-to-month,DSL,No,Mailed check,Yes
Male,0,19,113.81,2299.13,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,18,111.76,2001.03,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,1,65,108.75,6872.8,One year,No,No,Mailed check,No
Female,0,29,82.54,2314.42,One year,DSL,No,Electronic check,No
Female,0,52,100.83,4628.93,Month-to-month,No,No,Electronic check,Yes
Female,0,33,26.9,1043.29,One year,No,No,Electronic check,No
Male,0,21,53.48,1088.93,Month-to-month,DSL,Yes,Electronic check,No
Female,1,66,51.37,2909.17,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,5,83.56,126.46,Two year,Fiber optic,No,Electronic check,No
Female,0,26,55.6,1361.28,Month-to-month,No,No,Mailed check,Yes
Male,0,9,34.85,50.82,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,1,47,79.65,3902.22,One year,Fiber optic,No,Mailed check,Yes
Male,1,69,101.44,7083.07,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,58,58.21,3448.09,Two year,DSL,No,Electronic check,No
Female,0,58,33.23,1406.47,Month-to-month,DSL,No,Bank transfer,No
Male,0,1,39.67,-65.42,Month-to-month,Fiber optic,Yes,Credit card,Yes
Female,1,28,43.75,1085.48,Month-to-month,Fiber optic,Yes,Electronic check,No
Female,0,67,49.99,3158.52,Month-to-month,Fiber optic,No,Credit card,No
Female,1,64,84.28,5310.88,Month-to-month,Fiber optic,No,Bank transfer,No
Female,0,25,80.09,1777.0,Month-to-month,DSL,No,Electronic check,No
Female,0,9,89.61,849.53,Two year,Fiber optic,No,Credit card,Yes
Female,0,52,56.25,3078.31,Two year,DSL,No,Bank transfer,Yes
Female,0,58,102.4,6075.28,Month-to-month,Fiber optic,Yes,Credit card,No
Female,0,21,40.41,821.03,Month-to-month,No,No,Mailed check,Yes
Female,0,50,66.9,3744.85,Month-to-month,Fiber optic,Yes,Mailed check,Yes
Female,0,47,100.09,4932.23,Two year,DSL,Yes,Bank transfer,No
Female,0,20,38.02,740.09,Two year,DSL,No,Bank transfer,No
Male,0,21,30.99,554.34,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,29,108.37,3410.34,One year,Fiber optic,No,Bank transfer,Yes
Female,1,24,54.29,1504.48,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,1,27,88.39,2104.44,Month-to-month,DSL,Yes,Mailed check,No
Female,1,64,22.53,1659.08,Month-to-month,Fiber optic,No,Electronic check,No
Female,1,44,89.0,3885.13,Month-to-month,Fiber optic,No,Credit card,No
Female,0,67,51.61,3285.69,Month-to-month,DSL,Yes,Bank transfer,Yes
Female,0,6,25.57,-242.42,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,48,80.98,3833.26,One year,DSL,No,Bank transfer,No
Female,0,8,44.08,350.19,Month-to-month,Fiber optic,No,Credit card,No
Male,0,35,58.68,2371.27,Month-to-month,Fiber optic,No,Mailed check,No
Female,1,0,28.06,191.45,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,9,34.72,195.9,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,35,49.8,1820.87,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,45,28.98,1469.35,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,31,111.08,3460.67,Month-to-month,Fiber optic,No,Electronic check,Yes
Female,0,31,20.6,521.17,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,5,68.39,235.52,Month-to-month,DSL,No,Mailed check,No
Female,1,47,32.32,1596.13,Month-to-month,DSL,Yes,Mailed check,No
Female,0,37,50.77,1961.09,One year,Fiber optic,Yes,Electronic check,No
Male,0,16,112.61,1743.17,One year,DSL,Yes,Mailed check,No
Female,1,26,36.17,416.59,Month-to-month,DSL,Yes,Credit card,No
Male,1,53,116.58,5920.64,Month-to-month,Fiber optic,No,Credit card,No
Female,1,49,40.58,2112.36,Month-to-month,DSL,No,Credit card,Yes
Male,1,34,94.16,2775.27,Month-to-month,No,Yes,Mailed check,No
Male,0,24,74.67,2028.92,Month-to-month,DSL,No,Mailed check,No
Female,0,27,108.45,3135.38,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,14,75.4,1063.82,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,0,3,73.46,339.97,Two year,Fiber optic,No,Credit card,No
Female,0,26,39.55,1134.05,Month-to-month,DSL,Yes,Bank transfer,No
Female,0,25,36.62,892.13,Month-to-month,No,No,Bank transfer,Yes
Female,0,18,111.65,1734.92,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,16,52.78,1037.93,Two year,Fiber optic,No,Electronic check,No
Male,0,42,57.21,2684.27,One year,DSL,No,Mailed check,No
Male,0,40,95.98,3597.48,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,41,53.88,1926.83,One year,Fiber optic,No,Credit card,No
Male,0,49,115.21,5617.93,Month-to-month,DSL,Yes,Bank transfer,No
Male,1,39,93.79,3532.57,One year,Fiber optic,No,Credit card,No
Male,0,38,79.74,3059.11,One year,DSL,Yes,Credit card,No
Male,0,22,108.09,2619.58,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,51,24.96,823.83,One year,No,Yes,Bank transfer,No
Female,1,46,45.71,2418.91,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,62,66.5,4041.67,Month-to-month,Fiber optic,No,Electronic check,Yes
Female,0,68,42.7,3005.96,Month-to-month,Fiber optic,No,Credit card,No
Female,0,42,94.39,4088.13,One year,Fiber optic,No,Bank transfer,No
Female,0,47,111.92,5407.31,Month-to-month,No,No,Mailed check,No
Male,1,33,62.38,2070.92,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,39,54.21,2173.3,One year,Fiber optic,No,Mailed check,No
Male,0,60,116.16,7027.4,Month-to-month,DSL,No,Bank transfer,Yes
Male,1,49,64.49,3033.95,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,1,66,68.9,4195.79,Month-to-month,DSL,No,Electronic check,Yes
Male,0,61,55.16,3120.92,Month-to-month,Fiber optic,No,Mailed check,No
Male,1,57,110.95,6303.3,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Male,0,32,76.9,2303.44,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,15,96.22,1286.4,Two year,Fiber optic,No,Credit card,No
Male,0,47,101.18,5115.31,One year,Fiber optic,No,Electronic check,No
Female,0,9,54.18,659.4,Month-to-month,DSL,No,Bank transfer,No
Male,0,37,63.37,2294.27,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,1,18,104.85,2021.71,Month-to-month,DSL,No,Credit card,No
Male,1,35,56.33,1887.5,One year,Fiber optic,No,Credit card,Yes
Female,0,58,99.39,5786.76,Month-to-month,DSL,No,Mailed check,Yes
Male,1,62,114.1,7162.53,Month-to-month,DSL,Yes,Bank transfer,No
Male,0,45,82.32,3620.88,Two year,No,No,Electronic check,Yes
Female,0,2,94.16,51.27,Month-to-month,DSL,No,Bank transfer,No
Female,0,64,100.51,6677.43,Month-to-month,Fiber optic,Yes,Credit card,No
Female,0,7,104.5,854.32,Two year,DSL,Yes,Electronic check,No
Male,1,50,59.51,2524.58,One year,No,No,Electronic check,No
Female,1,5,25.13,-7.98,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,38,60.19,2130.97,One year,DSL,No,Bank transfer,Yes
Male,0,59,87.38,5031.19,Month-to-month,DSL,Yes,Electronic check,No
Female,0,27,65.04,1928.56,One year,Fiber optic,No,Mailed check,Yes
Female,0,53,94.9,5033.54,Month-to-month,DSL,No,Bank transfer,No
Male,1,36,55.7,1727.27,One year,Fiber optic,No,Credit card,No
Male,0,8,83.47,591.12,Two year,DSL,No,Credit card,Yes
Female,0,55,38.64,2233.55,Two year,DSL,No,Bank transfer,No
Female,0,58,94.94,5462.59,Two year,Fiber optic,No,Electronic check,Yes
Female,0,1,74.57,-54.37,Month-to-month,DSL,Yes,Electronic check,No
Male,0,60,40.41,2490.84,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,57,49.19,3127.47,Month-to-month,DSL,Yes,Credit card,No
Male,0,59,94.86,5689.02,One year,DSL,No,Electronic check,No
Male,0,39,68.26,2922.33,Two year,No,Yes,Bank transfer,No
Male,1,35,41.6,1340.48,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,36,116.73,4200.61,Two year,Fiber optic,No,Electronic check,No
Female,0,17,91.51,1549.96,One year,DSL,Yes,Bank transfer,No
